Title,Abstract,Citations
The Actiheart User Manual,,2
Canterbury Driving Assessment Tool (CanDAT™) incorporating SMCTests™ Version 5.0—user's manual,,2
Commercial opportunities for neural engineers,"… The example set by these companies and other startups in the neurotechnology industry should … , we expect to see many more examples of neurotechnology spinoffs in the years ahead. …",2
16 Can (and Should) We Regulate Neurosecurity?,… This volume is devoted to neurotechnology in national security and defense. It is focused … The danger in focusing only on neurotechnology is that we may mistakenly confine analysis …,1
Activation of sensorimotor areas by passive observation of movements: a TMS-EEG study,Movement observation (MO) modulates activity of brain regions involved in motor control. It is mentioned that this phenomenon is evoked by the mirror neurons system activity and …,0
2 The Potential Utility of Advanced Sciences Convergence,"… the right and good use of neurotechnology be articulated? Ethical discourse begins with fact … that can (and we posit, should) be employed in neuroscience and neurotechnology futures. …",0
Brain Co-processors: Ethical and Social Implications,… brings up some unique challenges not previously considered in neurotechnology. … The neurotechnology field can look to the cardiac pacemakers industry for guidance: voluntary …,0
Semi-supervised analysis of human fMRI data,Kernel Canonical Correlation Analysis (KCCA) is a general technique for subspace learning that incorporates principal components analysis (PCA) and Fisher linear discriminant …,0
Introduction: Exploring a speechless world,The instrumental investigation of consciousness has witnessed an astonishing progress over the last years. Different neurotechnological tools and methods have been developed in …,0
Humanoids meet rehabilitation concept and potential,"The development of humanoids is receiving attention in the bioengineering and health care communities, due to the high potential of bio-inspired robotics to serve as test bed of motor …",0
Wiederherstellung der Gehfähigkeit bei Personen mit Rückenmarkverletzungen durch gezielte Neurotechnologie Targeted Neurotechnology Restores Walking in …,Hintergrund Je nach Ausmaß einer Rückenmarkverletzung kommt es zu einer teilweisen oder vollständigen Unterbrechung auf-und absteigender Nervenbahnen. Charakteristisch für …,0
NT-Neurotechnology Provisional Roster,MNT-Molecular Neurotechnology Provisional Roster … NT- Neurotechnology Provisional Roster …,0
Introduction to Device-Based Treatments in Pediatric Psychiatric and Neurodevelopmental Disorders,This volume introduces the reader to the burgeoning field of device-based interventions for pediatric psychiatric and neurodevelopmental disorders. Pediatric psychiatric and …,0
Proceedings of the Medtronic Forum for Neuroscience and Neuro-Technology,,0
"Who Benefits, Who Is Harmed?","… As this volume relates, neurotechnology—like much of science and technology—is a mixture of knowledge and uncertainty, and gains and losses. So, the dilemmas are real (involving …",0
7 “NEURINT” and Neuroweapons,Advances in neuroscience have progressed rapidly over the past two decades. The field has become increasingly interdisciplinary and has been a nexus for the development and use …,0
Nanotechnology for the CNS drug delivery and targeting,"In the last years, the application of ""nanotechnology “to the field of “medicine” surely represented the most innovative strategy to cope with diseases and it coule be named as …",0
Principles of motor unit physiology evolve with advances in technology,Movements are generated by the coordinated activation of motor units. Recent technological advances have made it possible to identify the concurrent activity of several tens of motor …,181
Cognitive enhancement raises ethical concerns,"… The predicted trend, however, raises serious ethical concerns about the use of chemical and mechanical forms of neurotechnology, including psychopharmaceuticals, neuronal tissue …",98
Owning ethical innovation: claims about commercial wearable brain technologies,"The wearable neurotechnology market targets consumers with promises of cognitive benefit and personal wellness. Scientific evidence is essential to substantiate claims about utility, …",52
Multi-variate EEG analysis as a novel tool to examine brain responses to naturalistic music stimuli,"Note onsets in music are acoustic landmarks providing auditory cues that underlie the perception of more complex phenomena such as beat, rhythm, and meter. For naturalistic ongoing …",47
The translationally relevant mouse model of the 15q13. 3 microdeletion syndrome reveals deficits in neuronal spike firing matching clinical neurophysiological …,"Aim To date, the understanding and development of novel treatments for mental illness is hampered by inadequate animal models. For instance, it is unclear to what extent commonly …",26
"A decentralized, biologically based network for autonomous control of (hexapod) walking","… Neurotechnology for Biomimetic Robots … In Neurotechnology for Biomimetic Robots, ed. Joseph Ayers, Joel L. Davis, and Alan Rudolph, 383-400. … “A decentralized, biologically …",18
Identification of fluocinolone acetonide to prevent paclitaxel‐induced peripheral neuropathy,"Paclitaxel (PTX) is among the most commonly used cancer drugs that cause chemotherapy‐induced peripheral neuropathy (CIPN), a debilitating and serious dose‐limiting side effect. …",7
From biological to numerical experiments in systemic neuroscience: a simulation platform,"Studying and modeling the brain as a whole is a real challenge. For such systemic models (in contrast to models of one brain area or aspect), there is a real need for new tools designed …",4
Physically-Based Simulation and Web Visualization of C. elegans Behavioural Experiments,This paper presents the work done in the framework of the Si elegans project to develop the physics engine for the simulation of the roundworm Caenorhabditis elegans and the …,3
Si elegans: Modeling the C. elegans Nematode Nervous System Using High Performance FPGAS,"The mammalian nervous system is very efficient at processing, integrating and making sense of different sensory information from the outside world. When compared to the processing …",3
The impact of transfer learning on 3D deep learning convolutional neural network segmentation of the hippocampus in mild cognitive impairment and Alzheimer …,"Research on segmentation of the hippocampus in magnetic resonance images through deep learning convolutional neural networks (CNNs) shows promising results, suggesting that …",3
Commercial opportunities for neural engineers,"… The example set by these companies and other startups in the neurotechnology industry should … , we expect to see many more examples of neurotechnology spinoffs in the years ahead. …",2
Comparison of Electro-Optical Strategies for Mimicking C. elegans Network Interconnectivity in Hardware,"With exactly 302 neurons and about 8000 connections, the hermaphrodite of the soil-dwelling ringworm Caenorhabditis elegans features one of the simplest nervous systems in nature. …",2
Neuroconsumerism and Comprehensive Neuroethics,"… of these dimensions is necessary for a given DTC neurotechnology to be ethical,” she is “… , the current regulatory oversight of DTC neurotechnology is insufficient. For instance, Kreitmair …",1
Probabilistic Tractography Using Particle Filtering and Clustered Directional Data,The approach of using deterministic methods to trace white-matter fiber tracts through the brain and map brain connectivity is pervasive in currently followed tractographic methodologies…,1
Neuroengineering and Brain Plasticity—with Faranak Farzan,"… mental health, the ethical implications of neurotechnology, and the importance of community … The program is aimed at development and practical implementation of neurotechnology …",0
A Path to Science Fiction Style Technology Applications? The Example of Brain-to-Brain Interfaces,"… of the technology or refer to neurotechnology in general. This … but are drivers of neurotechnology in general. However, BBIs … and driving the development of neurotechnology and …",0
"Rodríguez-de-Pablo, C., 63 Rosenstiel, W., 125","… Encarnação (eds.), Advances in Neurotechnology, Electronics and Informatics, Biosystems & Biorobotics 12, DOI 10.1007/978-3-319-26242-0 …",0
Data and Consent Issues with Neural Recording Devices,"Research-driven technology developments in the neurosciences present interesting and potentially complicated issues concerning data in general and, more specifically, brain data. …",0
CMOS-based monolithic microelectrode systems for subcellular-resolution electrophysiology,"… NERF Neurotechnology Symposium … NERF Neurotechnology Symposium , Leuven, Belgium , 2014, May 5-6 …",0
Toward a better definition of focal cortical dysplasia: An iterative histopathological and genetic agreement trial,"Objective Focal cortical dysplasia (FCD) is a major cause of difficult‐to‐treat epilepsy in children and young adults, and the diagnosis is currently based on microscopic review of …",48
Nanoparticles for molecular imaging,"… NUS), and is currently the Director of Singapore Institute for Neurotechnology (SINAPSE), an institute dedicated to neurotechnology research and development. He is also a Professor of …",47
Multi-scale approaches for high-speed imaging and analysis of large neural populations,"Progress in modern neuroscience critically depends on our ability to observe the activity of large neuronal populations with cellular spatial and high temporal resolution. However, two …",42
Integrating neurophysiologic relevance feedback in intent modeling for information retrieval,"The use of implicit relevance feedback from neurophysiology could deliver effortless information retrieval. However, both computing neurophysiologic responses and retrieving …",21
Motor unit recruitment by size does not provide functional advantages for motor performance,Key points • Motor unit recruitment according to size (orderly recruitment) is almost universally observed in human muscles. • Using genetic optimization methods on neuromuscular …,19
Neuroethics and brain-computer interfaces (BCIs),"… in response to advances in neurotechnology.[4] Advances in … : first determine the kind of neurotechnology at issue, then … when particular kinds of neurotechnology travel with different …",19
Limitations of the spike-triggered averaging for estimating motor unit twitch force: a theoretical analysis,Contractile properties of human motor units provide information on the force capacity and fatigability of muscles. The spike-triggered averaging technique (STA) is a conventional …,12
Data-efficient motor imagery decoding in real-time for the cybathlon brain-computer interface race,Neuromotor diseases such as Amyotrophic Lateral Sclerosis or Multiple Sclerosis affect millions of people throughout the globe by obstructing body movement and thereby any …,7
Intracortical neural activity distal to seizure-onset-areas predicts human focal seizures,"The apparent unpredictability of epileptic seizures has a major impact in the quality of life of people with pharmacologically resistant seizures. Here, we present initial results and a proof-…",7
Application of the discriminant analysis for diagnostics of the arterial hypertension-analysis of short-term heart rate variability signals,"The investigation of the diagnostic possibilities for the arterial hypertension is presented. The 41 features of the statistical, geometric, spectral and nonlinear methods during functional …",6
The Actiwatch User Manual. Version 7.2,,3
Why Neuroscientists 14 Should Take the Pledge,"The fact that knowledge is power and power can be used for good or ill is as true for neuroscience as for any other branch of knowledge. For many of us who are neuroscientists, the …",3
"Bend, OR: Mini Mitter Co",,2
An fMRI-Compatible System for 3DOF Motion Tracking of Objects in Haptic Motor Control Studies,"Fusing naturalistic motor psychophysics with neuroimaging remains a key challenge in neuroscience, given that the former requires advanced motion tracking and the latter commonly …",0
Depolarization block of interneurons,… JOURNAL OF NEUROTECHNOLOGY …,0
Neuro-Ethics and Biotechnology: An Emerging Community Challenge,"… (DTC) neuro-technology certainly warrants attention, the commentary contains factual and conceptual errors that not only distort the reality of current DTC neuro-technology and its …",0
Synthetic Telepathy: The Revolutionary Technology Redefining Communication,… to the development and regulation of these new forms of neurotechnology. While the development of new forms of neurotechnology delivery has the potential to revolutionize the field of …,0
7 Neuroprostheses,Neuroprosthetics is a science of neural prostheses. Neural prostheses can be defined as devices that are yoked or implanted in the peripheral or central nervous system to restore or …,0
An Exquisite Corpse of Musical Cryptograms via BCMI,"… In this abstract, we present the concept of using music cryptograms and neurotechnology to advance the art of composition and music therapy. This is a herculean task that involves …",0
Neuroimage acquisition and analysis,,0
"Efficient"" shotgun"" inference of neural connectivity from highly sub-sampled activity data",Inferring connectivity in neuronal networks remains a key challenge in statistical neuroscience. The “common input” problem presents a major roadblock: it is difficult to reliably …,57
Reliable next-generation cortical interfaces for chronic brain–machine interfaces and neuroscience,"… This paper discusses recent advances in neurotechnology developed at Berkeley, including ultrasmall, ultracompliant implantable recording technology, as well as active devices which …",44
12 A Conservative Biomimetic Control Architecture for Autonomous Underwater Robots,"We are adapting the command neuron, coordinating neuron, centralpattern-generator (CCCPG) model of the organization of motor systems to the control of autonomous robots. This …",40
The entomopter,"The Entomopter is a multimode autonomous robot that is capable of flight, ambulatory locomotion, and swimming behaviors in a single vehicle. Autonomous navigation is based on a …",19
Time for nanoneuro,"… Here, we discuss nanoscience-based methods and tools to record and stimulate neuronal activity as a potential technological platform to propel neurotechnology forward. We consider …",13
Novel neurotechnological interventions for pediatric drug-resistant epilepsy: physician perspectives,… Access to neurotechnology was a salient theme differentiating Canadian and American contexts. When assessing novel neurotechnological interventions for pediatric drug-resistant …,10
Mechanical knowledge does matter to tool use even when assessed with a non‐production task: Evidence from left brain‐damaged patients,"In the literature on apraxia of tool use, it is now accepted that using familiar tools requires semantic and mechanical knowledge. However, mechanical knowledge is nearly always …",10
Approaches to large scale neural recording by chronic implants for mobile BCIs,… of robotic hands and operating simple tablet-base communication devices by tetraplegic devices is an example of a contemporary BCI operating at a system level of neuro-technology …,7
Implications for Nanoneuropharmacology,"… face of disease, trauma, and aging, thereby generating possibilities through which the human predicament and condition can be improved through neuroscience and neurotechnology. …",6
Emerging consciousness at a clinical crossroads,… neurotechnology resources (spokes) are established with connections to central medical centers (hubs) equipped with the comprehensive neurotechnology … of neurotechnology hubs. …,5
Passive BCI tools for mental state estimation in aerospace applications,Recent progress in neurotechnology and machine learning has enabled the development of biocybernetical systems or passive brain-computer interfaces (pBCIs). There is a growing …,5
Hysteresis in the perception of visual unity,"… This is an important problem: understanding how the brain organizes and separates visual objects would open new possibilities in the field of neurotechnology (eg, a neural prosthesis …",3
11 Ethical Issues in Performance-Enhancing Technologies,… 176 Neurotechnology … 178 Neurotechnology … 180 Neurotechnology …,3
"10 Neuroscience, National Security, and the Reverse Dual-Use Dilemma",… The military has set their sights on neurotechnology for some time—DARPA has been “dabbling” in neuroscience research since the early 1990s (Hoag 2003). While many of the …,2
“The Trauma of Losing Your Own Identity Again”: The Ethics of Explantation of Brain–Computer Interfaces,One of the most discussed topics about the ethics of implantable brain–computer interfaces is whether the intrusion of experimental technologies in the central nervous system impacts …,1
Artificial biomimetic neuron on a microfluidic device,"… 2015 Bridging Biomedical Worlds, from neural circuitry to neurotechnology, May 2015, Tokyo, Japan. ⟨hal-01227654⟩ …",0
Correcting cardiorespiratory noise in resting-state functional MRI data acquired in critically ill patients,"Resting-state functional MRI is being used to develop diagnostic, prognostic and therapeutic biomarkers for critically ill patients with severe brain injuries. In studies of healthy …",0
Critical highlights on the application of EEG-TMS methods. A methodological review in clinical practice,"… A methodological review in clinical practice, Poster, in Proceedings of the ""World Congress of Neurotechnology"", (Roma, 12-14 October 2010), WCNT, Roma 2010: 15-16 [http://hdl.handle.net/10807/28996] …",0
2 Transitioning Brain Research,"Contributions of brain research to human knowledge have flourished in recent years, owing in large measure to the increasing sophistication of direct brain monitoring, imaging, and …",0
Current trends of biomedical signal processing in neuroscience,,0
Age-associated difference in circadian sleep–wake and rest–activity rhythms,"Using actigraphic monitoring of wrist activity, we investigated the sleep and rest–activity patterns of 65 young, middle-aged, old and the oldest subjects in their natural environmental …",320
Comparison of PAEE from combined and separate heart rate and movement models in children.,"Purpose Accurate measurement of physical activity in children is a challenge. Combining physiological (eg, heart rate (HR)) and body movement registration (eg, accelerometry) may …",219
Optogenetics and the future of neuroscience,"… optogenetics has helped galvanize broad interest in neurotechnology development. … use of optogenetics in basic neuroscience, and from neurotechnology as a whole, will provide in the …",174
Factors influencing the estimates of correlation between motor unit activities in humans,"Background Alpha motoneurons receive common synaptic inputs from spinal and supraspinal pathways. As a result, a certain degree of correlation can be observed between …",81
Recent advances in neural electrode–tissue interfaces,… Neurotechnology is facing an exponential growth in the recent decades. Neural electrode-… as an instrumental component of neurotechnology development. While satisfactory …,75
Differential Detection of Potentially Hazardous Fusarium Species in Wheat Grains by an Electronic Nose,Fungal infestation on wheat is an increasingly grave nutritional problem in many countries worldwide. Fusarium species are especially harmful pathogens due to their toxic metabolites. …,69
Photosensitive epilepsy is associated with reduced inhibition of alpha rhythm generating networks,See Hamandi (doi: 10.1093/awx049 ) for a scientific commentary on this article. Photosensitivity is a condition in which lights induce epileptiform activities. This abnormal …,43
Hierarchical internal representation of spectral features in deep convolutional networks trained for EEG decoding,"Recently, there is increasing interest and research on the interpretability of machine learning models, for example how they transform and internally represent EEG signals in Brain-…",43
Bioinspired materials for in vivo bioelectronic neural interfaces,… It has been demonstrated that neurotechnology design principles should match the brain's … several principal properties of modern neurotechnology to optimize bidirectional transfer of …,32
Keeping the “Human in the Loop” in the age of artificial intelligence: accompanying commentary for “Correcting the Brain?” by rainey and Erden,"… The modus operandi of AI-enabled neurotechnology is based on … The use of AI-enabled neurotechnology in psychiatry, however, … that AI-enabled neurotechnology affords, is unable to …",31
18 The Role of Reflexes versus Central Pattern Generators in Dynamical Legged Locomotion,"Animals execute locomotor behaviors and more with ease. They have evolved these breathtaking abilities over millions of years. Cheetahs can run, dolphins can swim, and flies can fly …",30
Neuro rights: A human rights solution to ethical issues of neurotechnologies,"… in the context of Neurotechnology for several reasons. Neurotechnology grants access not … skin” surveillance could become the norm, Neurotechnology might heighten the scrutiny of …",4
Ensemble learning based on overlapping clusters of subjects to predict microsleep states from EEG,Microsleeps are brief and involuntary instances of complete loss of sleep-related consciousness. We present a novel approach of creating overlapping clusters of subjects and training …,3
Shaping children: Ethical and social questions that arise when enhancing the young,"… advances in neuroscience, neurology and neurotechnology are addressed by a specialized … The ethical, legal and social ramifications of neuroscience, neurotechnology and neurology …",2
Decoding cognition in real-time,… In this essay we discuss advances in neurotechnology that could allow cognitive processes to be decoded in real-time and the implications that this may have for cognitive science and …,1
Neural Mechanisms as Putative Targets for Warfighter Resilience and Optimal Performance,"Military deployment and, in particular, combat deployment (Smith et al. 2008) can have profound effects on mental health (Thomas et al. 2010) and lead to increased prevalence rates of …",1
"… разума: будущее нейротехнологии. Roelfsema p. R., Denys D., Klink p. C. mind reading and writing: the future of neurotechnology//trends in cognitive …",… mind reading and writing: the future of neurotechnology // trends in cognitive Sciences. - … mind reading and writing: the future of neurotechnology // trends in cognitive Sciences. - 2018. - …,0
Brain gate technology,… Advances in Neurotechnology have made great strides since the field’s original arrival in the … Neurotechnology is making significant advancements in the field of medicine. It is the …,0
8 Brain Brinksmanship,"As the twentieth century came to a close some years ago, the United States possessed an interesting array of military might that stood apart from all other nations because the once …",0
Mobile apps for neuroscience,,0
Deep learning with convolutional neural networks for EEG decoding and visualization,"Deep learning with convolutional neural networks (deep ConvNets) has revolutionized computer vision through end‐to‐end learning, that is, learning from the raw data. There is …",1885
Wrist actigraphy,"To record sleep, actigraph devices are worn on the wrist and record movements that can be used to estimate sleep parameters with specialized algorithms in computer software …",670
Why we need better ethics for emerging technologies,"… Genetic technology, nanotechnology, and neurotechnology are good candidates for impending technological revolutions. Two reasons favoring their candidacy as revolutionary are …",350
Recommendations for responsible development and application of neurotechnologies,"… At the same time, it is important to recognize that the threats posed by neurotechnology to … was done before the advent of neurotechnology [14, 15]. Neurotechnology, however, promises …",63
"Proactive ethical design for neuroengineering, assistive and rehabilitation technologies: The Cybathlon lesson",… of an interdisciplinary symposium at the NeuroTechnology Center (NTC) at Columbia University have advocated for the integration of ethics into neurotechnology and recommended the …,38
Spinal direct current stimulation (tsDCS) in hereditary spastic paraplegias (HSP): A sham-controlled crossover study,Objective: Hereditary spastic paraplegia (HSP) represents a heterogeneous group of neurodegenerative diseases characterized by progressive spasticity and lower limb weakness. We …,29
The psycholinguistic and affective structure of words conveying pain,"Despite the flourishing research on the relationships between affect and language, the characteristics of pain-related words, a specific type of negative words, have never been …",27
Regional brain and spinal cord volume loss in spinocerebellar ataxia type 3,"Background Given that new therapeutic options for spinocerebellar ataxias are on the horizon, there is a need for markers that reflect disease‐related alterations, in particular, in the …",27
Modulation of speech-in-noise comprehension through transcranial current stimulation with the phase-shifted speech envelope,Neural activity tracks the envelope of a speech signal at latencies from 50 ms to 300 ms. Modulating this neural tracking through transcranial alternating current stimulation influences …,17
Neuroethics and nonhuman animals,"… advances in neuroscience, neurology and neurotechnology are addressed by a specialized … The ethical, legal and social ramifications of neuroscience, neurotechnology and neurology …",14
EEG-based usability assessment of 3D shutter glasses,… Neurotechnology can contribute to the usability assessment of products by providing … The impact of the shutter glasses on the visual cortex can be detected by neurotechnology even …,13
Nicotine and clozapine cross‐prime the locus coeruleus noradrenergic system to induce long‐lasting potentiation in the rat hippocampus,"A priming‐challenge schedule of nicotine treatment causes long‐lasting potentiation (LLP), a form of synaptic plasticity closely associated with the norepinephrine (NE) neurotransmitter …",10
tDCS in pediatric neuropsychiatric disorders,"The interest in the use of noninvasive brain stimulation for enhancing neural functions in the pediatric population is growing. Yet, the research tentative in this direction is still relatively …",8
"Neuroscience, Neurotechnology, Lie Detection and Ethics. Acıbadem Universitesi Saglık Bilimleri Dergisi, 3 (3), 149–159",,4
Virtual and augmented reality in neuroscience,,3
The power of thoughts: a qualitative interview study with healthy users of brain-computer interfaces,Brain-Computer Interfaces (BCIs) use the power of thoughts. They detect brain activity to control external devices such as neuro-prostheses or personal computers. The goal of this …,2
Integrating Equity Work throughout Bioethics,"As members of a neuroethics research group funded by the NIH, we echo the call from Fabi and Goldberg (2022) for greater funding parity between the ethics of specialized medical …",1
NeurOnline: A software to perform online analysis and control of electrophysiological recordings,"It is now standard to record the activity from large numbers of neurons simultaneously, both in behaving animals using acute or chronically implanted electrode arrays, and in brain …",0
11 Neuroskepticism,"… Judicial gatekeeping may well prevent such an incident from recurring in Europe or North America (for a discussion of the admissibility of evidence derived from neurotechnology, see, …",0
Identification of selective inhibitors against BACE 1 over BACE 2 in Alzheimer's disease by Quantitative Structure-Activity Relationship (QSAR),"Introduction: BACE-1 is an aspartate protease that is responsible for the proteolysis of amyloid precursor proteins into beta-amyloid (Aβ), a neurotoxic peptide in patients with Alzheimer’…",0
Cognitive enhancement,"… In the turn of the second decade of the 21st century the convergence of the neurosciences including neuroimaging, genetics and cognitive science, neurotechnology and informatics is …",101
Snake robots for research and rescue,… Neurotechnology for Biomimetic Robots Neurotechnology for Biomimetic Robots 2002 …,62
Development of a two-joint dolphin robot,"… Neurotechnology for Biomimetic Robots Neurotechnology for Biomimetic Robots 309-324, 2002 …",57
In vivo testing of circularly polarized implantable antennas in rats,… The two antennas were surgically implanted into the rat at Singapore Institute for Neurotechnology. The measured results in the rat were compared to the simulated ones in the one-…,36
A micromechanical flying insect thorax,"… Neurotechnology for Biomimetic Robots Neurotechnology for Biomimetic Robots 469-480, 2000 …",17
神经刺激器在臂丛神经阻滞的应用,"神经刺激器可准确定位臂丛神经,提高臂丛神经阻滞成功率和安全性.神经刺激器于1912年首次 用于实施经锁骨上臂丛神经阻滞,1962年,Greenblatt首次将便携式神经刺激器应用于临床.神经…",13
Progressing the health agenda: responsibly innovating in health technology,"… This perspective article is an adapted keynote address from the OECD’s workshop on Neuro-technology and Society, which aimed to examine the science and society interplay in brain …",9
Auditing the impact of neuro-advancements on health equity,"… 2) Does the academic literature focusing on the technologies covered, neuroethics, or neurotechnology governance engage with health equity? 3) To what extent does the academic …",8
Copy number alterations associated with clinical features in an underrepresented population with breast cancer,"Background As the most incident tumor among women worldwide, breast cancer is a heterogeneous disease. Tremendous efforts have been made to understand how tumor …",8
Using a novel approach to assess dynamic cortical connectivity changes following neurofeedback training in children on the autism spectrum,"Power spectrum neurofeedback (NF) has been used in recent years as a treatment modality for children diagnosed with a variety of neuropsychiatric disorders. As an intervention, NF …",6
"Filho, PPR; Damasevicius, R.; de Albuquerque, VHC EEG-based biometric systems",,3
"„Neuroscience, Neurotechnology, Lied Detection and Ethics”",,3
EMG-based simultaneous and proportional estimation of wrist kinematics and its application in intuitive myoelectric control for unilateral transradial amputees,We propose a method for estimating wrist kinematics during dynamic wrist contractions from multi-channel surface electromyography (EMG). Surface EMG were recorded …,2
How to Select a Dry-EEG Headset for your Research Application,"Dry-EEG systems can open the door for the application of neuroscience in real-world settings, and the market to a new generation of products and services based on neurotechnology. …",1
Ideas for a school of the future,"The school is a 5,000-year-old institution that has changed little since its origin. Consider, for instance, all the emphasis placed by Sumerian edubas on copying, keeping quiet and “…",1
Barry University Chapter Celebrates 20th Anniversary,"… who are still involved in the chapter, and a presentation by Andres Pena, a graduate student at Florida International University, who discussed bioethics and his neurotechnology …",0
Neurofeedback as a neurorehabilitation tool for memory deficits: a phase 0 clinical trial,"Although underexplored, the idea of using brain computer interfaces (BCI) for behavioral and cognitive rehabilitation is based on recent evidence suggesting that not only self-regulated …",0
Evaluation of motion controlled arm support,"… Neurotechnix 2013 International Congress on Neurotechnology, Electronics and Informatics - Portugal, Vilamoura, United Kingdom … Neurotechnix 2013 International …",0
"United States Policy on BCIs: Funding Research, Regulating Therapies, and Commercializing Consumer Technology","After a brief overview of BCIs, this chapter summarizes the policy implications of the range of issues they raise. It then discusses in detail the complex policy framework, political culture, …",0
High-gamma coupling between and within human pre-and primary motor cortex during movements,"In this study, we investigated neuronal interactions between pre-and primary cortical motor areas and their information about movements by analyzing partial directed coherence (PDC) …",0
On the necessity of ethical guidelines for novel neurotechnologies,"… Because novel neurotechnologies may alter human identity and society in profound ways, we advocate for the early integration of ethics into neurotechnology. We recommend …",77
Recent progress in voltage-sensitive dye imaging for neuroscience,"… (NUS), and is currently Director of Singapore Institute for Neurotechnology (SINAPSE), an institute dedicated to neurotechnology research and development. He is also a Professor of …",48
Shape memory alloy actuators applied to biomimetic underwater robots,… Neurotechnology for Biomimetic robots Neurotechnology for Biomimetic robots 2000 …,24
"Random wiring, ganglion cell mosaics, and the functional architecture of the visual cortex",The architecture of iso-orientation domains in the primary visual cortex (V1) of placental carnivores and primates apparently follows species invariant quantitative laws. Dynamical …,24
How (not) to argue for moral enhancement: Reflections on a decade of debate,… “Advances in the cognitive sciences have made neurotechnology imperative… The cognitive … It is possible to object to the era of neurotechnology on ‘moral’ grounds and to assert that …,23
Pectoral fin controllers,"… Neurotechnology for biomimetic robots Neurotechnology for biomimetic robots 325-347, 2002 …",22
Engineering a muscle: an approach to artificial muscle based on field-activated electroactive polymers,… Neurotechnology for Biomimetric Robots Neurotechnology for Biomimetric Robots 2002 …,10
Biomimetic flow and contact/bending MEMS sensors,"… Neurotechnology for Biomimetic Robots Neurotechnology for Biomimetic Robots 13-30, 2002 …",8
Biomimetics in action: design and performance of an autonomous robotic fish,"… Neurotechnology for Biomimetic Robots Neurotechnology for Biomimetic Robots 297-308, 2002 …",6
A biologically inspired approach towards robust real world locomotion in an eight legged robot,,6
Chronotherapy for adolescent major depression,"Depressive disorders are among the most prominent health problems in youth. However, despite extensive research efforts, treatment outcomes for depression in children and …",5
Cognitive enhancers and mental impairment: Emerging ethical issues,"… Neurotechnology has been discussed in the literature as either treatment or enhancement, … This chapter explores a third use of neurotechnology that neither fits squarely into the …",4
Illusion approach for upper limb motor rehabilitation,"… The first research works on neurotechnology can be dated back nearly half a century, but it is in the XXI century that most significant advances are being witnessed. Neurotechnology …",3
"… 10 tys. zayavok na patenty, izmenyayushchikh meditsinu, zdravookhranenie, razvlechenie i biznes [Pervasive neurotechnology: a revolutionary analysis …",,2
Neurotechnology,,2
Computing the delay margin of the subthalamo-pallidal feedback loop,"In the last ten years, several models of basal ganglia dynamics have been proposed in order to explain the abnormal neural oscillations that appear in Parkinson's disease. Recently, …",2
A piezoelectrically actuated mesoscale robot quadruped,BACKGROUND A considerable amount of work has been conducted in the design of autonomous conventional-scale robot quadrupeds. These designs generally incorporate …,2
Opinion on 'Responsible Dual Use'Political,,2
The search-and-rescue mission,"This scenario is purely imaginary and is presented to help provide a goal for future developments rather than stating current capabilities. It may be that for all practical tasks, some other …",1
The motor neuron recruitment strategy and muscle anatomical properties determine the influence of synaptic noise on the variability of motor output,"During muscle contraction, alpha motor neurons receive synaptic input from tens of thousands of neural connections, causing continuous fluctuations of the membrane voltage (synaptic …",0
Four ethical priorities for neurotechnologies and AI,"… We estimate that current spending on neurotechnology by for-profit industry is already US$100 … Although we raise these issues in the context of neurotechnology, they also apply to AI. …",363
The effect of continuous positive airway pressure treatment on physical activity in patients with obstructive sleep apnoea: a randomised controlled trial,"… Physical activity was quantified using wrist worn actiwatches (Cambridge Neurotechnology Ltd., UK). These are compact electronic devices containing piezo-electric accelerometers …",105
Volitional control of single-electrode high gamma local field potentials by people with paralysis,"Intracortical brain-computer interfaces (BCIs) can enable individuals to control effectors, such as a computer cursor, by directly decoding the user’s movement intentions from action …",13
Optimization of swimming locomotion by genetic algorithm,,11
A robust encoding scheme for delivering artificial sensory information via direct brain stimulation,Innovations for creating somatosensation via direct electrical stimulation of the brain will be required for the next generation of bi-directional cortical neuroprostheses. The current lack of …,10
Sensory fusion in free-flight search behavior of fruit flies,,10
Toward the development of agile and mission-capable legged robots,,8
Using biology to guide development of an artificial olfactory system,,8
Ethics of device-based treatments in pediatric neuropsychiatric disorders,An increasing number of young people are being treated for neuropsychiatric disorders. Traditional treatments for these disorders include talking therapies or drug treatments. Many of …,3
Developing a novel fmri-compatible motion tracking system for haptic motor control experiments,Human neuroimaging can play a key role in addressing open questions in motor neuroscience and embodied cognition by linking human movement experiments and motor …,3
Assessment of the Suitability of the Motorized Ankle-Foot Orthosis as a Diagnostic and Rehabilitation Tool for Gait,"A unilateral powered exoskeleton (Motorized ankle-foot orthosis, MAFO) is presented in this work, with the aim of studying muscle and kinematics short-term adaptations of the ankle …",1
Neurotech-ethics: Suggestions for the way forward,"… In recent years, discussion and research on the ethics of neurotechnology, as distinct from … in contact and cooperated on the ethics of neurotechnology in Germany since the late 2000s. …",1
Cyberneurosecurity,"Cyberbiosecurity is an emerging field that brings together diverse professionals, including biologists, computer scientists, anti-terrorism experts, and policy makers to research the …",1
EYE MOVEMENTS IN HUMANS,"Eye movements observed in humans fall into two broad categories, namely, saccades and target-holding movements. Saccades consist of fast (on the order of 1000/sec), essentially …",0
